10000
159389	439186	276098	653134	912102
470995	409830	654843	308614	125069
543678	765789	216309	181555	445688
587269	705597	317962	72893	926411
443967	829821	532356	508422	64477
97655	831654	22253	583180	435737
553819	145970	987524	663019	374173
521971	734369	797969	441189	518322
737000	336361	707426	510816	360303
472073	539712	164525	228249	686016
22616	584619	332160	581304	775943
787797	768110	353607	344148	589956
671463	109891	787507	877192	669656
979223	264155	312911	984782	704164
431598	101278	404259	952727	715807
80425	598999	257205	261912	42626
553456	730241	808271	356060	158673
362270	191760	861133	593451	614835
403235	670614	432161	460284	211252
90997	116525	687237	375828	175089
408033	266977	507992	729520	937949
893891	416282	933465	644101	704167
470652	112518	715295	214744	93334
313817	222000	707765	404330	862377
21644	358325	995842	292312	514321
884072	389240	206748	901656	674118
505488	620916	828726	644475	798430
141638	838764	984919	629218	483114
608792	211390	47071	826394	619855
323979	11704	752134	986700	414558
958007	690609	348255	851657	752928
111742	457828	394844	33179	603080
165887	974434	945260	313381	68509
629258	337628	179231	735083	241658
425999	462306	901265	192144	152289
514179	258602	165092	482933	343807
563426	392083	876311	162282	118414
312542	15456	727976	512233	522444
749713	920427	297811	448369	930438
763124	763237	475365	902837	305637
3947	216165	47022	846749	877060
74309	782643	196572	870356	456111
659403	71346	796437	406510	66684
184449	679688	388229	193510	921602
132824	649172	378513	666355	810739
455195	95233	905848	890340	603428
110157	920731	304724	284987	716649
844985	962521	993208	36280	261758
617662	181007	271174	202419	239170
351191	689761	856646	555226	483611
91589	206695	199924	166141	674012
203174	878399	6832	753769	703124
784408	381412	134101	932284	333626
513795	288313	250246	912244	483859
931019	154848	41789	462703	692016
645130	417242	334079	425937	570723
846947	476353	379951	776976	824119
515063	942920	851324	294608	431066
180297	496655	936385	719047	320718
30855	384114	634719	504978	574163
677256	649313	840573	979652	865796
298868	279639	656419	184418	246579
972177	921610	134116	886333	610782
698598	491147	356903	805610	108691
270430	933929	763435	691997	56579
942408	600140	551203	907811	162600
343753	770249	943881	387293	555635
345601	818738	956209	892673	94500
870660	485334	935549	569342	395501
410986	652191	972777	762467	940741
851447	78956	696839	412575	844741
800279	414523	96139	886184	989484
583717	270013	708744	478661	841856
896864	329094	640786	495752	431207
363802	911275	155593	988912	563366
826477	215545	31715	367557	366409
96410	986742	331911	279940	644737
314955	972300	749405	245501	337271
264136	469346	43166	902831	328710
403613	610218	507151	121004	213835
712358	202307	528907	436046	189306
734066	626053	203004	991050	406369
979814	222059	235020	671129	241500
689811	560175	493533	762037	599763
209190	698437	532437	696069	214610
187810	260990	101121	301440	371220
986870	570039	852339	77068	260674
937384	240237	35158	574701	992717
504903	712665	780941	927830	611833
496921	680437	940170	124920	405717
4486	188626	746388	93340	808068
281258	259788	768302	749568	742620
710684	734759	233975	906357	65527
7897	113860	765664	420875	612652
4221	804061	17683	23677	361733
845510	633954	871117	49231	268919
451218	435209	15070	66195	780713
555579	69216	924564	512510	441074
558611	684694	569029	185388	962568
387255	678103	711720	800317	791171
682944	510920	793634	361549	281295
487387	847281	966527	455460	166744
569594	252537	984494	588227	517409
669643	562307	636398	240138	810577
63467	501060	816944	3618	984710
951569	978345	636646	173196	278776
983151	166000	349128	525188	250052
733253	799124	331694	574993	199890
929221	137611	529701	708740	964383
869004	220562	647958	364214	903020
839460	758315	907634	590980	273651
949033	804690	666506	494710	619935
864680	988326	591692	750700	507252
651642	49543	653149	802573	867847
302233	838440	453096	171312	317599
495460	99003	141818	753848	907445
831416	760336	527935	902784	892929
590418	380395	968620	877654	864458
104105	719226	60019	75408	566295
173410	871368	308690	647922	394510
439182	884596	19748	488381	390141
123517	453127	448220	942439	592269
373133	195099	465218	142215	746215
60441	255429	158383	171160	685783
375587	361657	815503	542556	664794
68230	954055	878730	337581	24693
456194	368336	596039	963774	578614
493584	122951	340013	863220	86530
323364	473296	34413	520497	461973
475494	283735	812033	28824	148179
843558	931381	934389	721045	187322
575895	744870	925047	423116	951484
109788	874642	696616	597456	617659
548150	417169	904791	596703	557892
686250	33044	532886	720850	697636
613309	499287	47334	893971	623358
703778	794839	464822	134179	645680
537772	854891	923020	657381	341947
62470	302261	923324	725927	85036
579148	383310	277917	473860	32937
179396	358378	755671	404626	751787
793071	947029	967223	691034	978583
986812	413145	863849	371787	266912
725124	827817	606841	172891	69758
726904	763890	991397	406588	713624
86034	448749	954615	83397	862670
531479	329717	912678	58862	493830
934919	994078	347462	575444	698580
716129	267032	463300	402843	109942
550870	662964	868973	595601	437937
797739	43197	608011	375735	628488
187582	207880	374951	973466	341947
114264	840100	935259	203220	646843
481473	75806	207999	498530	716758
899614	651021	778361	37033	987052
609190	212874	982762	203126	547843
939665	280514	348344	910170	584134
125024	373016	970431	708355	428271
29727	171529	695130	371281	118883
455293	188871	518557	540905	306926
791623	41876	901146	118797	929026
734802	162121	142667	306160	193812
253865	302881	7806	214063	463988
139572	492465	953885	915247	5308
932802	639524	658148	908425	185875
465711	774512	752907	592003	865648
266141	61732	201935	728095	470523
133642	425567	744102	768932	148810
255956	335759	504434	103713	241274
744819	416482	122512	168201	445414
441826	904187	595545	507210	529983
626762	821833	684708	3471	892589
89587	69149	67444	952207	714227
340908	578495	91391	909646	20228
603644	809298	441543	569005	297543
986143	487357	112438	367826	91809
394585	891495	124284	702290	639112
534819	566820	678345	533185	730499
467193	56271	606182	249667	541032
977492	15915	482683	355755	928295
970234	998366	464999	444531	191328
985070	206505	535960	8950	670113
